Count,Giants,Braves,Marlins,Mets,Phillies,Nationals,Dodgers,Rockies,D'backs,Padres,Reds,Brewers,Pirates,Cardinals,Cubs,Orioles,Red Sox,Yankees,Rays,Blue Jays,White Sox,Indians,Tigers,Royals,Twins,A's,Astros,Angels,Mariners,Rangers
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1,-1,1,1,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,-1
3,-2,-2,0,0,0,2,0,2,0,2,0,0,-2,0,2,2,2,-2,-2,-2,-2,0,0,0,0,2,0,2,0,-2
4,-3,-1,1,1,-1,1,-1,1,1,3,1,-1,-1,-1,1,1,1,-1,-1,-1,-3,1,1,-1,-1,1,1,3,-1,-1
5,-3,-2,2,0,-2,1,-1,2,1,2,2,-1,-1,0,2,0,1,0,-2,-1,-4,0,2,0,-2,2,0,4,0,-2
6,-4,-1,3,1,-3,0,0,1,0,2,1,-2,0,0,1,-1,2,1,-1,0,-3,1,1,-1,-1,3,-1,5,-1,-3
7,-5,-2,2,0,-2,1,-1,0,-1,0,2,-1,-1,2,2,-2,3,2,0,1,-4,2,0,-2,0,2,0,6,0,-4
8,-5,-3,3,0,-3,0,0,1,-1,-1,2,-2,0,3,2,-1,4,1,1,1,-5,2,1,-2,-1,1,0,6,0,-4
9,-6,-4,2,1,-2,-1,-1,2,-2,0,3,-3,-1,4,3,0,3,2,0,0,-6,1,2,-1,0,2,1,5,1,-5
10,-5,-5,3,0,-3,0,0,3,-3,-1,4,-2,0,3,2,1,2,1,-1,-1,-5,0,1,-2,1,3,2,4,2,-4
11,-6,-6,2,1,-4,-1,1,4,-2,0,3,-3,1,2,3,2,3,2,-2,0,-4,-1,0,-3,0,4,3,3,1,-3
12,-7,-6,1,1,-3,-1,1,3,-3,-1,4,-2,1,2,2,3,2,3,-2,1,-3,-1,1,-4,0,3,2,4,1,-2
13,-6,-5,2,1,-4,-2,2,4,-4,-2,3,-1,0,2,1,2,1,4,-3,2,-2,0,2,-5,-1,4,1,5,2,-3
14,-7,-4,3,0,-5,-1,1,5,-3,-1,4,-2,1,3,2,1,0,3,-2,1,-3,-1,3,-4,-2,5,2,4,1,-4
15,-8,-5,2,-1,-4,0,1,6,-4,-1,4,-1,1,4,3,0,-1,3,-2,1,-4,-1,3,-5,-1,5,2,5,1,-3
16,-9,-4,1,-2,-5,1,2,7,-5,-2,5,0,0,5,4,-1,0,2,-1,2,-5,0,4,-6,0,4,1,4,0,-2
17,-8,-5,2,-3,-4,0,1,8,-4,-1,4,1,-1,4,3,-2,-1,1,0,3,-4,1,5,-7,-1,3,0,5,1,-1
18,-7,-4,3,-2,-5,-1,2,7,-5,-2,5,2,-2,3,4,-1,0,0,1,2,-5,2,6,-8,0,2,-1,4,0,0
19,-7,-4,2,-3,-5,0,2,7,-6,-1,5,1,-2,3,5,-1,1,1,0,1,-5,1,6,-7,1,2,0,4,-1,0
20,-8,-5,1,-2,-4,1,1,8,-7,-2,6,2,-1,2,6,0,0,0,-1,2,-6,0,7,-6,2,1,-1,5,0,-1
21,-9,-4,0,-3,-3,2,0,9,-8,-1,5,1,-2,3,7,1,-1,1,0,3,-7,-1,8,-7,3,0,-2,6,1,-2
22,-8,-3,0,-2,-4,2,1,8,-8,-1,6,1,-3,2,7,0,0,0,1,4,-6,0,7,-8,2,1,-3,5,0,-1
23,-9,-4,1,-3,-3,3,0,7,-7,-2,5,0,-2,3,8,1,1,1,0,5,-7,-1,8,-9,3,0,-2,4,1,-2
24,-8,-3,0,-4,-4,2,1,8,-8,-1,4,1,-1,2,9,0,0,0,1,4,-6,0,9,-8,2,-1,-3,3,2,-1
25,-9,-2,1,-3,-3,3,2,7,-7,-2,5,0,-2,1,10,1,-1,1,0,3,-7,-1,8,-7,3,-2,-4,2,3,0
26,-8,-1,0,-3,-4,3,3,6,-7,-2,4,-1,-2,2,10,0,-1,1,-1,4,-7,-1,7,-7,4,-1,-5,2,4,1
27,-9,0,1,-4,-5,2,4,5,-6,-3,5,-2,-1,1,11,-1,0,0,0,3,-6,0,6,-8,3,0,-4,1,5,2
28,-8,-1,0,-5,-4,3,3,4,-5,-2,4,-1,-2,2,12,-2,-1,1,-1,4,-7,-1,5,-7,3,1,-4,0,6,3
29,-8,-2,0,-6,-4,3,3,5,-4,-3,4,0,-1,1,13,-1,-2,2,-1,4,-8,0,5,-6,1,0,-2,-1,6,2
30,-9,-1,-1,-7,-3,2,2,4,-5,-2,5,-1,0,0,14,0,-1,3,-2,3,-7,1,4,-5,0,1,-1,-2,5,3
31,-8,-2,-2,-6,-2,3,3,3,-6,-3,6,-2,-1,1,13,-1,0,4,-3,4,-6,2,5,-6,1,0,-2,-3,6,2
32,-9,-3,-1,-5,-1,4,2,2,-7,-4,5,-1,0,2,12,0,1,3,-2,5,-7,3,6,-5,0,-1,-3,-4,7,1
33,-10,-3,0,-6,-1,5,2,1,-6,-5,4,-1,1,2,12,0,2,4,-1,4,-7,2,5,-4,0,-2,-3,-5,8,2
34,-11,-4,-1,-5,-2,4,3,2,-7,-6,5,-3,2,3,14,-1,3,3,0,5,-8,3,4,-3,1,-3,-4,-4,7,3
35,-12,-5,-2,-6,-3,3,4,3,-6,-7,6,-4,3,4,15,-2,4,2,1,6,-7,2,3,-2,2,-4,-5,-5,8,4
36,-11,-6,-3,-7,-2,4,3,3,-7,-6,7,-5,3,4,16,-1,3,2,1,6,-8,3,4,-1,1,-4,-6,-4,7,4
37,-10,-7,-2,-8,-3,5,2,4,-8,-5,8,-6,2,5,15,-2,4,3,0,5,-9,4,3,0,0,-3,-5,-5,8,5
38,-11,-8,-1,-7,-2,6,1,3,-7,-6,9,-7,1,4,16,-3,5,4,1,6,-8,3,2,1,-1,-4,-4,-6,9,4
39,-12,-7,0,-6,-3,5,2,4,-8,-5,8,-6,0,5,15,-4,4,3,2,5,-7,4,3,2,-2,-5,-3,-5,8,3
40,-12,-8,0,-6,-3,4,3,3,-7,-6,7,-5,-1,5,16,-3,5,2,1,5,-7,5,3,2,-2,-6,-2,-5,9,3
41,-13,-7,-1,-5,-4,3,4,2,-8,-7,8,-4,0,4,17,-2,6,3,0,6,-6,4,4,3,-3,-5,-3,-6,8,2
42,-14,-8,0,-6,-3,2,5,1,-7,-8,7,-3,-1,5,18,-1,5,4,1,5,-7,3,5,2,-4,-4,-2,-5,7,3
43,-13,-7,-1,-5,-3,3,4,1,-8,-8,7,-4,0,4,18,-2,4,4,2,4,-6,2,6,3,-5,-4,-2,-4,6,4
44,-12,-8,0,-4,-4,4,3,0,-7,-9,6,-5,1,5,19,-3,3,5,1,5,-7,3,7,4,-6,-5,-1,-5,7,3
45,-13,-7,-1,-3,-5,3,4,1,-8,-8,7,-6,2,4,18,-4,4,6,0,6,-6,2,6,3,-7,-4,0,-4,6,4
46,-12,-8,-2,-4,-4,2,5,2,-7,-7,6,-7,3,3,17,-3,3,5,1,7,-5,1,5,4,-8,-3,-1,-3,5,5
47,-12,-8,-3,-3,-5,3,4,3,-7,-7,5,-8,2,4,18,-4,4,4,0,8,-6,2,6,5,-9,-4,0,-2,4,6
48,-13,-7,-4,-2,-6,4,4,3,-6,-8,4,-9,1,5,19,-3,3,5,1,7,-7,3,7,4,-10,-5,1,-1,3,7
49,-12,-6,-5,-1,-7,5,4,3,-7,-9,3,-8,0,4,20,-4,4,6,0,8,-8,4,8,3,-11,-6,2,0,2,8
50,-13,-5,-4,-2,-7,5,4,3,-7,-10,3,-8,0,4,21,-4,4,6,0,8,-9,4,8,3,-10,-6,2,0,2,8
51,-14,-4,-5,-3,-8,6,3,4,-8,-9,4,-7,-1,3,22,-3,5,5,1,7,-8,5,9,2,-11,-7,1,-1,3,9
52,-13,-3,-6,-2,-9,5,4,3,-7,-10,5,-6,-2,2,21,-2,6,4,2,6,-9,6,8,3,-10,-8,0,0,2,10
53,-14,-2,-7,-1,-10,4,5,2,-6,-11,4,-5,-3,3,22,-3,5,5,1,7,-8,7,9,2,-11,-7,1,1,1,9
54,-15,-3,-8,0,-9,5,6,3,-7,-10,3,-6,-4,4,23,-2,4,6,0,6,-9,6,10,3,-12,-8,2,2,2,8
55,-14,-4,-9,1,-8,6,7,2,-8,-11,2,-6,-5,5,22,-1,5,7,-1,5,-8,5,9,4,-13,-7,3,1,1,9
56,-15,-5,-8,2,-9,7,8,3,-9,-12,1,-5,-4,4,21,-2,6,8,0,4,-7,6,8,3,-12,-6,2,0,2,8
57,-15,-5,-8,2,-8,6,8,2,-9,-11,0,-3,-3,3,21,-2,6,9,-1,4,-7,7,8,3,-12,-6,1,0,3,7
58,-14,-6,-7,3,-9,7,7,3,-10,-12,1,-4,-4,4,22,-3,7,10,-2,3,-6,8,9,2,-13,-7,0,-1,4,8
59,-13,-5,-8,2,-10,8,8,2,-11,-11,2,-5,-5,5,21,-2,6,11,-3,4,-7,7,8,3,-12,-8,1,-2,5,9
60,-12,-6,-7,3,-11,9,7,3,-12,-12,3,-4,-6,4,22,-1,7,10,-2,3,-8,8,7,4,-13,-9,0,-1,6,8
61,-13,-5,-8,2,-10,8,8,2,-11,-11,4,-5,-7,3,23,-2,8,9,-3,4,-7,7,8,3,-14,-8,-1,-2,7,9
62,-14,-6,-7,3,-11,9,7,1,-10,-10,5,-6,-6,4,22,-1,7,10,-2,3,-6,6,7,2,-13,-7,-2,-3,8,10
63,-15,-7,-6,2,-10,10,8,0,-9,-9,4,-5,-7,3,23,0,6,9,-1,2,-7,7,8,1,-14,-6,-1,-4,9,9
64,-14,-7,-6,2,-11,10,7,0,-8,-9,4,-4,-6,2,22,-1,7,8,0,3,-6,6,7,0,-13,-5,-1,-5,9,9
65,-13,-8,-7,3,-10,11,8,1,-9,-10,3,-5,-5,1,23,0,8,7,-1,4,-5,7,6,-1,-14,-6,0,-6,8,10
66,-14,-7,-8,4,-9,10,9,2,-10,-11,1,-4,-3,2,22,-1,9,6,0,3,-6,8,5,0,-15,-5,1,-5,7,9
67,-15,-6,-7,5,-10,9,8,3,-9,-12,2,-3,-4,3,21,0,10,5,-1,2,-7,7,6,1,-16,-4,0,-4,8,8
68,-16,-5,-6,4,-10,8,9,2,-10,-11,1,-3,-4,4,22,-1,11,5,-1,3,-8,7,6,2,-16,-5,1,-5,7,9
69,-15,-4,-5,3,-9,7,8,1,-11,-10,0,-4,-3,5,23,-2,12,6,-2,4,-9,8,7,1,-17,-6,2,-6,6,10
70,-16,-3,-6,2,-8,8,9,2,-10,-11,-1,-5,-2,4,24,-3,13,7,-3,3,-10,9,7,0,-17,-7,3,-5,7,9
71,-15,-2,-7,3,-9,8,10,1,-10,-12,-1,-4,-3,4,24,-4,14,6,-2,3,-10,10,9,-1,-19,-7,2,-4,7,9
72,-16,-1,-8,4,-10,7,11,0,-11,-12,-2,-3,-2,3,25,-3,15,5,-3,4,-11,11,10,-2,-20,-8,1,-3,8,10
73,-15,-2,-7,3,-9,8,12,-1,-12,-12,-1,-4,-3,4,24,-2,16,4,-4,5,-10,10,9,-1,-19,-9,0,-2,7,11
74,-16,-2,-7,4,-10,9,13,-2,-13,-11,0,-5,-4,3,25,-1,17,3,-5,6,-9,9,8,0,-20,-8,1,-3,8,10
75,-16,-2,-6,3,-10,8,13,-2,-12,-11,1,-4,-5,2,26,-1,17,4,-6,5,-8,10,7,0,-20,-9,0,-2,9,9
76,-15,-1,-7,4,-11,9,12,-3,-13,-10,0,-5,-6,3,27,-2,16,5,-7,6,-7,9,8,1,-21,-10,1,-1,8,10
77,-16,0,-8,5,-12,8,11,-2,-12,-9,1,-6,-5,2,26,-1,15,6,-8,5,-6,8,9,2,-22,-11,0,0,9,11
78,-15,1,-8,5,-13,9,12,-3,-13,-10,0,-6,-5,3,26,0,14,7,-7,4,-7,8,9,1,-21,-12,0,0,10,11
79,-14,0,-7,6,-14,8,11,-2,-12,-11,-1,-7,-6,4,27,1,15,6,-8,3,-6,9,10,0,-22,-13,-1,1,11,12
80,-13,1,-8,7,-15,9,10,-3,-11,-12,0,-6,-7,5,26,0,14,7,-7,4,-7,10,9,-1,-21,-12,0,0,10,11
81,-12,2,-9,6,-14,10,9,-4,-10,-13,-1,-5,-8,6,27,1,13,6,-6,5,-8,11,8,-2,-20,-11,-1,1,9,10
82,-13,2,-9,6,-14,10,9,-4,-9,-13,-1,-5,-8,7,26,1,13,5,-5,5,-8,11,8,-2,-20,-11,-1,1,9,10
83,-13,1,-10,7,-13,11,10,-3,-9,-14,-2,-6,-9,7,26,2,14,5,-5,4,-8,12,8,-3,-19,-10,0,0,8,9
84,-12,1,-10,7,-13,11,9,-2,-10,-13,-2,-7,-9,6,27,2,14,6,-6,4,-9,13,9,-3,-19,-11,1,1,7,8
85,-13,2,-11,6,-14,12,10,-3,-9,-14,-1,-6,-10,6,27,3,15,5,-5,3,-9,14,9,-4,-18,-12,2,2,6,7
86,-14,1,-10,7,-15,11,11,-2,-8,-15,0,-7,-10,5,28,3,15,5,-6,4,-8,14,8,-5,-17,-11,1,1,7,7
87,-15,0,-9,6,-16,12,10,-1,-7,-14,1,-6,-9,4,27,4,14,4,-5,3,-9,13,9,-4,-16,-12,0,2,6,8
88,-16,-1,-8,5,-15,11,9,0,-6,-13,0,-7,-8,5,28,5,13,3,-4,2,-8,12,10,-3,-17,-11,-1,3,5,7
89,-15,-2,-9,6,-14,10,10,-1,-5,-14,1,-8,-7,4,29,4,14,4,-3,1,-9,11,9,-4,-16,-12,0,4,4,8
90,-14,-2,-9,7,-15,11,9,-2,-6,-13,2,-8,-8,3,30,4,13,5,-4,1,-9,11,10,-5,-16,-11,-1,4,5,8
91,-15,-3,-8,8,-16,12,9,-1,-5,-14,3,-7,-9,2,30,3,14,5,-4,0,-10,12,11,-5,-17,-11,0,5,4,7
92,-14,-2,-9,9,-17,11,10,-2,-6,-13,4,-6,-10,3,29,4,13,6,-5,-1,-9,11,12,-6,-18,-10,1,4,3,8
93,-15,-2,-10,10,-17,11,9,-1,-6,-13,3,-5,-11,3,30,5,14,7,-6,-2,-8,10,11,-5,-17,-11,1,3,3,9
94,-14,-1,-9,9,-18,12,10,-2,-7,-14,2,-4,-10,2,29,6,13,8,-5,-3,-7,9,12,-4,-18,-12,2,2,4,8
95,-15,0,-8,8,-17,11,11,-1,-8,-15,3,-5,-9,1,28,5,14,9,-6,-2,-8,10,11,-3,-17,-13,3,1,5,7
96,-16,1,-7,7,-18,12,10,0,-7,-16,2,-4,-8,0,27,6,15,10,-7,-3,-7,9,12,-2,-18,-13,3,0,6,6
97,-16,2,-8,7,-18,12,9,0,-6,-17,2,-3,-9,1,26,6,16,11,-8,-3,-8,10,12,-2,-19,-14,4,-1,7,7
98,-15,1,-7,6,-17,13,8,1,-5,-18,3,-4,-10,2,27,5,17,10,-7,-4,-7,11,11,-3,-20,-13,3,0,6,6
99,-16,0,-8,7,-18,14,9,0,-6,-18,2,-5,-11,3,28,6,16,11,-6,-3,-8,11,10,-2,-20,-12,4,-1,7,5
100,-16,-1,-8,6,-17,15,9,0,-7,-16,1,-4,-11,2,28,7,17,11,-5,-4,-8,12,9,-3,-21,-11,5,-2,6,6
101,-17,-2,-9,5,-16,16,8,1,-6,-15,0,-5,-10,3,29,8,16,10,-6,-3,-9,13,8,-4,-20,-10,6,-3,5,7
102,-18,-3,-8,4,-15,17,7,2,-5,-16,-1,-6,-11,4,30,9,15,11,-5,-4,-10,14,9,-5,-21,-9,5,-2,4,8
103,-19,-4,-7,3,-14,18,8,3,-6,-17,0,-7,-10,5,29,8,16,10,-6,-3,-9,13,10,-6,-22,-10,6,-3,5,9
104,-18,-4,-7,3,-14,17,7,4,-5,-18,-1,-6,-11,5,30,9,16,10,-7,-4,-8,13,10,-7,-21,-10,6,-2,5,8
105,-19,-4,-7,3,-14,18,8,3,-4,-19,-2,-5,-12,4,31,8,16,10,-6,-3,-7,12,11,-8,-20,-11,7,-1,4,7
106,-18,-3,-8,2,-13,19,7,2,-5,-18,-3,-4,-11,4,30,9,15,11,-7,-3,-6,13,10,-9,-21,-12,6,0,5,8
107,-19,-2,-9,1,-12,20,8,1,-4,-19,-3,-4,-11,6,30,9,14,12,-7,-5,-6,14,9,-9,-21,-13,5,1,6,8
108,-18,-1,-10,2,-13,19,9,2,-5,-20,-4,-5,-10,7,29,8,15,13,-6,-6,-5,13,8,-10,-20,-14,6,2,7,7
109,-19,0,-11,3,-14,18,10,3,-6,-19,-4,-6,-9,7,30,7,14,14,-7,-5,-4,14,7,-10,-20,-13,5,1,6,8
110,-20,-1,-10,2,-15,19,11,2,-5,-18,-3,-5,-10,6,29,8,15,13,-8,-4,-5,15,8,-11,-19,-14,6,2,5,7
111,-19,-2,-11,3,-14,19,10,2,-5,-18,-2,-4,-11,5,28,9,14,12,-7,-3,-6,14,9,-10,-19,-14,7,2,5,6
112,-20,-1,-12,2,-15,18,11,1,-4,-17,-3,-5,-10,6,29,8,15,13,-6,-4,-5,13,10,-11,-18,-15,8,3,4,5
113,-19,-2,-11,3,-16,19,10,2,-5,-18,-2,-5,-11,6,30,7,16,14,-7,-5,-6,14,9,-10,-17,-16,9,2,5,4
114,-19,-2,-12,3,-17,20,10,3,-6,-19,-1,-4,-12,5,31,8,15,14,-6,-5,-5,14,9,-11,-18,-15,8,1,6,5
115,-20,-3,-13,4,-18,21,11,2,-5,-20,0,-5,-11,6,30,9,14,15,-7,-4,-6,13,10,-10,-17,-16,9,0,5,6
116,-21,-4,-14,5,-19,22,12,3,-6,-21,1,-6,-10,7,29,10,15,16,-6,-5,-7,14,9,-11,-18,-15,8,1,6,5
117,-22,-5,-13,4,-18,21,12,4,-7,-21,2,-5,-11,8,28,11,16,17,-7,-4,-8,15,8,-12,-19,-14,9,0,7,4
118,-23,-5,-14,5,-18,20,13,4,-7,-20,1,-5,-12,9,28,12,16,18,-8,-3,-8,14,8,-11,-19,-13,9,-1,7,3
119,-24,-6,-15,6,-19,19,14,4,-8,-21,2,-4,-13,10,28,13,15,17,-9,-4,-9,15,9,-10,-18,-14,10,0,8,4
120,-23,-7,-16,5,-20,20,15,5,-7,-22,2,-3,-14,11,27,12,14,17,-8,-3,-9,14,8,-11,-18,-13,11,-1,9,5
121,-24,-7,-16,5,-20,20,14,6,-6,-23,3,-4,-15,11,27,12,15,16,-9,-2,-10,14,9,-10,-17,-13,12,-2,8,6
122,-23,-6,-17,4,-20,20,15,5,-5,-22,2,-3,-16,10,28,11,14,15,-8,-1,-11,13,8,-9,-16,-14,13,-1,7,7
123,-22,-5,-18,3,-21,21,16,4,-6,-23,1,-2,-15,11,27,10,15,15,-9,0,-10,12,9,-8,-15,-15,13,-2,6,8
124,-21,-6,-17,2,-21,21,15,5,-7,-24,0,-1,-14,12,26,9,14,15,-8,1,-9,13,8,-7,-16,-16,13,-1,5,9
125,-20,-5,-18,1,-21,21,14,5,-6,-23,0,-2,-14,12,26,9,14,15,-9,0,-10,14,8,-7,-16,-17,14,0,6,9
126,-19,-4,-19,0,-22,22,13,6,-5,-24,-1,-1,-15,11,27,10,15,16,-8,-1,-11,13,7,-8,-17,-16,15,1,5,10
127,-20,-3,-20,-1,-23,21,14,6,-4,-25,-2,0,-14,10,28,9,16,17,-7,-2,-12,12,8,-9,-17,-17,16,2,6,11
128,-20,-4,-21,-1,-24,20,15,6,-4,-26,-3,1,-13,10,29,8,15,16,-7,-1,-13,12,9,-8,-17,-16,16,2,7,12
129,-19,-3,-22,0,-23,19,16,7,-3,-27,-4,2,-14,9,28,9,14,15,-6,-2,-12,13,8,-9,-16,-15,15,1,6,13
130,-18,-2,-21,1,-24,18,15,6,-2,-28,-3,2,-13,8,28,10,13,14,-5,-3,-11,14,9,-9,-16,-14,14,0,5,12
131,-19,-3,-22,0,-25,19,16,7,-3,-27,-4,1,-12,9,29,9,14,15,-6,-2,-10,15,8,-9,-16,-15,13,1,4,13
132,-18,-2,-22,0,-26,19,16,8,-2,-27,-3,1,-13,9,28,8,14,16,-7,-2,-11,14,7,-10,-15,-15,14,2,4,13
133,-19,-1,-21,1,-27,20,17,9,-1,-28,-4,0,-14,8,29,7,15,15,-8,-1,-12,15,6,-9,-14,-16,15,3,3,12
134,-20,-2,-22,0,-28,21,16,10,0,-27,-3,-1,-13,9,30,6,16,16,-7,0,-13,14,7,-10,-13,-15,14,2,2,11
135,-21,-3,-22,-1,-27,20,17,9,1,-26,-3,-2,-12,8,31,6,17,16,-6,0,-13,14,6,-10,-13,-15,15,1,3,10
136,-22,-2,-21,0,-28,21,18,10,2,-27,-2,-3,-13,7,30,5,18,15,-5,1,-12,13,5,-9,-14,-14,16,0,2,9
137,-21,-3,-22,-1,-27,22,19,9,1,-28,-3,-2,-12,8,29,4,19,16,-6,2,-12,12,5,-8,-13,-15,17,1,1,8
138,-20,-4,-21,0,-28,21,20,10,0,-27,-2,-1,-13,7,28,3,18,17,-5,1,-11,13,4,-9,-14,-16,18,0,2,9
139,-21,-3,-20,1,-29,22,21,11,-1,-26,-3,-2,-12,6,27,4,17,16,-4,2,-10,14,5,-10,-15,-17,19,-1,3,8
140,-22,-4,-19,2,-30,23,22,8,0,-25,-4,-3,-13,5,26,3,18,17,-5,3,-11,15,4,-9,-16,-18,20,0,4,9
141,-23,-5,-18,1,-31,24,21,7,1,-24,-5,-2,-14,6,25,4,19,16,-4,4,-12,14,5,-10,-17,-17,21,1,5,8
142,-23,-5,-19,0,-31,24,20,8,2,-24,-5,-1,-14,7,25,5,18,17,-4,3,-12,15,5,-10,-16,-18,21,0,4,8
143,-22,-6,-18,-1,-32,25,21,7,1,-23,-4,-2,-13,6,26,6,17,16,-5,4,-13,14,6,-9,-15,-19,22,-1,5,7
144,-23,-5,-17,0,-31,24,22,8,0,-24,-5,-3,-14,5,27,5,18,17,-6,3,-14,13,7,-8,-16,-18,23,0,6,6
145,-24,-4,-16,-1,-30,25,21,9,-1,-25,-6,-2,-13,4,28,4,19,16,-7,4,-15,14,8,-9,-15,-19,24,-1,7,5
146,-23,-5,-17,-1,-29,26,20,9,-1,-25,-5,-3,-13,3,29,4,19,16,-7,3,-15,14,8,-10,-15,-18,25,-1,7,5
147,-24,-6,-18,-2,-28,27,19,10,0,-26,-4,-2,-14,2,30,5,20,15,-8,2,-14,13,7,-9,-16,-17,24,0,8,6
148,-25,-5,-17,-1,-29,26,20,11,1,-27,-3,-1,-15,1,29,6,19,16,-7,3,-15,12,8,-8,-17,-18,23,-1,9,5
149,-24,-4,-16,-1,-30,27,20,12,2,-28,-2,-2,-16,0,28,5,18,17,-6,3,-16,12,7,-9,-16,-18,24,0,8,5
150,-25,-3,-15,-2,-31,26,21,13,1,-27,-3,-1,-17,1,27,4,19,18,-5,2,-17,13,6,-10,-15,-19,23,1,9,6
151,-26,-5,-16,0,-32,25,22,14,2,-28,-4,-2,-16,2,26,3,20,19,-5,3,-16,12,5,-9,-14,-19,24,0,8,7
152,-25,-6,-17,1,-33,24,23,13,3,-29,-5,-3,-15,3,27,2,19,20,-4,4,-17,13,6,-8,-15,-20,23,1,7,8
153,-25,-5,-17,2,-34,23,23,12,3,-28,-6,-3,-14,3,26,1,20,21,-4,4,-16,13,6,-8,-16,-20,22,0,8,9
154,-26,-6,-16,1,-35,24,24,11,4,-27,-7,-3,-13,3,27,0,21,20,-3,3,-15,12,5,-7,-15,-21,21,1,7,10
155,-27,-5,-15,2,-36,23,25,12,5,-26,-8,-2,-14,2,26,1,22,19,-4,4,-16,11,4,-6,-16,-22,22,2,8,9
156,-28,-5,-15,1,-35,24,24,13,5,-26,-8,-1,-14,1,26,0,21,18,-5,4,-15,12,5,-5,-15,-21,22,1,7,9
157,-29,-6,-14,0,-36,25,25,14,6,-27,-9,0,-15,2,27,-1,22,17,-6,3,-14,13,6,-4,-16,-20,21,0,6,10
158,-30,-5,-15,-1,-37,26,26,15,7,-26,-10,-1,-14,1,26,0,21,16,-5,2,-13,15,5,-5,-18,-19,22,1,5,11
159,-31,-4,-16,0,-38,25,27,16,8,-27,-11,0,-15,0,27,1,22,15,-4,3,-14,16,4,-4,-19,-18,21,0,6,10
