key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
Pirates,0,-1,-2,-1,-1,0,-1,0,-1,0,1,1,0,1,1,0,-1,-2,-2,-1,-2,-3,-2,-1,-2,-2,-1,-2,-1,0,-1,0,1,2,3,3,2,1,0,-1,0,-1,0,1,2,3,2,1,0,0,-1,-2,-3,-4,-5,-4,-3,-4,-5,-6,-7,-6,-7,-6,-5,-3,-4,-4,-3,-2,-3,-2,-3,-4,-5,-6,-5,-5,-6,-7,-8,-8,-9,-9,-10,-10,-9,-8,-7,-8,-9,-10,-11,-10,-9,-8,-9,-10,-11,-11,-10,-11,-10,-11,-12,-11,-11,-10,-9,-10,-11,-10,-11,-12,-11,-10,-11,-12,-13,-14,-15,-16,-15,-14,-14,-15,-14,-13,-14,-13,-12,-13,-14,-13,-12,-13,-12,-13,-12,-13,-14,-14,-13,-14,-13,-13,-14,-15,-16,-17,-16,-15,-14,-13,-14,-14,-15,-14,-15,-14,-13,-14,-15,-14,-13,-14,-14,-15,-14,-13,-14,-15,-16,-17,-16,-15,-14,-15,-14,-13
Cardinals,0,-1,0,-1,0,0,2,3,4,3,2,2,2,3,4,5,4,3,3,2,3,2,3,2,1,2,1,2,1,0,1,2,2,3,4,4,5,4,5,5,4,5,4,5,4,3,4,5,4,4,3,2,3,4,5,4,3,4,5,4,3,4,3,2,1,2,3,4,5,4,4,3,4,3,2,3,2,3,4,5,6,7,7,6,6,5,4,5,4,3,2,3,3,2,1,0,1,2,3,2,3,4,5,5,4,4,6,7,7,6,5,6,6,5,6,7,8,9,10,11,11,10,11,12,12,11,10,10,9,8,9,9,8,9,8,7,8,7,6,5,6,7,6,5,4,3,2,1,0,1,2,3,3,3,2,1,2,1,0,0,1,2,1,0,-1,0,1,0,1,2,3,4,3,4,3,2,3,2,3,4
Cubs,0,1,2,1,2,1,2,2,3,2,3,2,1,2,3,4,3,4,5,6,7,7,8,9,10,10,11,12,13,14,13,12,12,14,15,16,15,16,15,16,17,18,18,19,18,17,18,19,20,21,22,21,22,23,22,21,21,22,21,22,23,22,23,22,23,22,21,22,23,24,24,25,24,25,26,27,26,26,27,26,27,26,26,27,27,28,27,28,29,30,30,29,30,29,28,27,26,27,28,28,29,30,29,30,31,30,30,29,30,29,28,29,30,31,30,29,28,28,28,27,27,28,27,26,26,27,28,29,28,28,29,28,29,30,31,30,29,28,27,26,25,25,26,27,28,29,30,29,28,27,26,27,26,27,26,26,27,26,27,28,29,28,29,28,29,28,29,28,27,28,27,26,27,27,26,27,26,27,26,25
Orioles,0,1,2,1,0,-1,-2,-1,0,1,2,3,2,1,0,-1,-2,-1,-1,0,1,0,1,0,1,0,-1,-2,-1,0,-1,0,0,-1,-2,-1,-2,-3,-4,-3,-2,-1,-2,-3,-4,-3,-4,-3,-4,-4,-3,-2,-3,-2,-1,-2,-2,-3,-2,-1,-2,-1,0,-1,0,-1,0,-1,-2,-3,-4,-3,-2,-1,-1,-2,-1,0,1,0,1,1,2,2,3,3,4,5,4,4,3,4,5,6,5,6,6,5,6,7,8,9,8,9,8,9,9,8,7,8,9,8,7,8,9,10,11,12,13,12,12,11,10,9,9,10,9,8,9,10,9,8,7,6,6,5,4,3,4,3,4,5,6,5,4,4,5,6,5,4,3,2,1,0,1,0,-1,0,1,0,1,0,-1,-2,-1,0,0,1,0,1,0,-1,0,-1,-2,-3,-4,-5,-4,-3
Red Sox,0,1,2,1,1,2,3,4,3,2,3,2,1,0,-1,0,-1,0,1,0,-1,0,1,0,-1,-1,0,-1,-2,-1,0,1,2,3,4,3,4,5,4,5,6,5,4,3,4,3,4,3,4,4,5,6,5,4,5,6,6,7,6,7,8,7,6,7,8,9,10,11,12,13,14,15,16,17,17,16,15,14,15,14,13,13,14,14,15,15,14,13,14,13,14,13,14,13,14,15,16,17,16,17,16,15,16,16,16,15,14,15,14,15,14,15,16,15,14,15,16,16,15,14,15,14,15,14,14,15,16,15,14,13,14,14,15,16,17,18,19,18,17,18,19,18,17,18,19,19,20,19,18,19,20,19,20,21,22,21,22,21,22,21,22,21,21,22,21,20,21,22,21,22,23,24,25,26,27,26,25,26,25,24
Yankees,0,-1,-2,-1,0,1,2,1,2,1,2,3,4,3,3,2,1,0,1,0,1,0,1,0,1,1,0,1,2,3,4,3,4,3,2,2,3,4,3,2,3,4,4,5,6,5,4,5,6,6,5,4,5,6,7,8,9,10,11,10,9,10,9,8,7,6,5,5,6,7,6,5,4,3,4,5,6,7,6,7,6,5,5,6,5,5,4,3,4,5,5,6,7,8,9,10,11,10,11,11,10,11,10,10,10,11,12,13,14,13,12,13,14,14,15,16,17,18,17,17,16,15,15,15,15,16,17,16,15,14,15,16,15,16,16,15,16,17,16,17,16,17,16,17,16,16,15,16,17,18,19,20,21,20,19,18,17,16,15,15,14,15,14,15,14,13,14,13,14,13,14,13,12,13,12,11,11,10,11,10
Rays,0,-1,-2,-1,-2,-1,0,1,0,-1,-2,-2,-3,-2,-2,-1,0,1,0,-1,0,1,0,1,0,-1,0,-1,-1,-2,-3,-2,-1,0,1,1,0,1,2,1,0,1,2,1,0,1,0,1,0,0,1,2,1,0,-1,0,-1,-2,-3,-2,-3,-2,-1,0,-1,0,-1,-1,-2,-3,-2,-3,-4,-5,-6,-7,-8,-7,-8,-7,-6,-5,-5,-6,-5,-6,-5,-4,-3,-4,-4,-5,-6,-5,-6,-7,-8,-7,-6,-5,-6,-5,-6,-7,-6,-7,-7,-6,-7,-8,-7,-6,-7,-6,-7,-6,-7,-8,-9,-8,-9,-8,-9,-8,-9,-8,-7,-7,-6,-5,-6,-7,-8,-7,-6,-5,-6,-5,-4,-5,-4,-4,-5,-6,-7,-7,-8,-7,-6,-5,-5,-4,-4,-3,-4,-5,-6,-5,-4,-5,-4,-3,-3,-2,-3,-4,-4,-3,-4,-5,-4,-3,-4,-4,-3,-4,-3,-4,-3,-2
Blue Jays,0,-1,-2,-1,-1,0,1,1,0,-1,0,1,2,1,1,2,3,2,1,2,3,4,5,4,3,4,3,4,4,3,4,5,4,5,6,6,5,6,5,5,6,5,4,5,6,7,8,7,8,8,7,6,7,6,5,4,4,3,4,3,4,3,2,3,4,3,2,3,4,3,3,4,5,6,5,6,5,4,3,4,5,5,4,4,3,4,3,2,1,1,0,-1,-2,-3,-2,-3,-3,-4,-3,-4,-3,-4,-3,-4,-3,-3,-5,-6,-5,-4,-3,-4,-5,-5,-4,-5,-4,-3,-4,-3,-2,-1,0,1,0,-1,-2,-1,-2,-3,-2,-2,-1,0,0,1,2,1,2,3,4,3,4,3,4,3,2,3,3,2,3,4,4,3,4,4,3,2,3,4,3,4,3,2,1,2,2,1,2,1,0,-1,-2,-3,-2,-1,0,-1,0,-1
White Sox,0,-1,-2,-3,-4,-3,-4,-5,-6,-5,-4,-3,-2,-3,-4,-5,-4,-5,-5,-6,-7,-6,-7,-6,-7,-7,-6,-7,-8,-7,-6,-7,-7,-8,-7,-8,-9,-8,-7,-7,-6,-7,-6,-7,-6,-5,-6,-7,-8,-9,-8,-9,-8,-9,-8,-7,-7,-6,-7,-8,-7,-6,-7,-6,-5,-6,-7,-8,-9,-10,-10,-11,-10,-9,-8,-7,-6,-7,-6,-7,-8,-8,-8,-9,-9,-8,-9,-8,-9,-9,-10,-9,-8,-7,-8,-7,-8,-7,-8,-8,-9,-10,-9,-8,-7,-6,-6,-5,-4,-5,-6,-5,-6,-5,-6,-7,-8,-8,-9,-9,-10,-11,-10,-9,-10,-11,-12,-13,-12,-11,-10,-11,-12,-13,-13,-12,-12,-11,-10,-11,-12,-12,-13,-14,-15,-15,-14,-15,-16,-17,-16,-17,-16,-15,-16,-15,-14,-13,-14,-14,-15,-16,-15,-16,-17,-18,-19,-18,-19,-18,-17,-18,-17,-16,-17,-18,-18,-19,-18,-19
Indians,0,1,0,1,0,1,2,2,1,0,-1,-1,0,-1,-1,0,1,2,1,0,-1,0,-1,0,-1,-1,0,-1,0,1,2,3,2,3,2,3,4,3,4,5,4,3,2,3,2,1,2,3,4,4,5,6,7,6,5,6,7,8,7,8,7,6,7,6,7,8,7,7,8,9,10,11,10,9,10,9,8,8,9,10,11,11,12,13,14,14,13,12,11,11,12,11,10,9,10,9,10,11,11,12,13,14,13,13,12,13,14,13,14,15,14,13,14,14,13,14,15,14,15,14,14,13,12,13,14,13,12,12,13,14,15,14,15,14,14,13,12,13,14,15,14,15,14,13,14,14,13,12,12,13,12,13,13,12,11,12,13,15,16,17,16,17,18,17,16,15,16,15,16,17,17,17,18,18,17,16,17,18,19,18
Tigers,0,1,0,1,2,1,0,1,2,1,0,1,2,3,3,4,5,6,6,7,8,7,8,9,8,7,6,5,5,4,5,6,5,4,3,4,3,2,3,3,4,5,6,7,6,5,6,7,8,8,9,8,9,10,9,8,8,9,8,7,8,7,8,7,6,5,6,6,7,7,9,10,9,8,7,8,9,9,10,9,8,8,8,9,9,8,9,10,9,10,11,12,11,12,11,12,12,11,10,9,8,9,10,10,11,10,9,8,7,8,9,10,9,9,10,9,8,8,9,8,9,8,9,8,8,7,8,9,8,9,8,7,6,7,6,5,5,4,5,4,5,5,6,7,8,8,7,8,7,6,5,6,6,5,4,5,6,5,4,3,2,1,0,-1,-2,-1,-1,0,-1,0,0,0,-1,-1,0,-1,0,-1,-2,-1
Royals,0,-1,0,-1,0,-1,-2,-2,-1,-2,-3,-4,-5,-4,-5,-6,-7,-8,-7,-6,-7,-8,-9,-8,-7,-7,-8,-7,-6,-5,-6,-5,-4,-3,-2,-1,0,1,2,2,3,2,3,4,3,4,5,4,3,3,2,3,2,3,4,3,3,2,3,4,3,2,1,0,-1,0,1,2,1,0,-1,-2,-1,0,0,1,2,1,0,-1,-2,-2,-3,-3,-4,-5,-4,-3,-4,-5,-5,-6,-5,-4,-3,-2,-2,-3,-2,-3,-4,-5,-6,-7,-8,-9,-9,-10,-10,-11,-10,-11,-10,-11,-10,-11,-12,-11,-10,-11,-10,-9,-8,-7,-7,-8,-9,-8,-9,-9,-9,-10,-9,-10,-10,-9,-8,-9,-10,-9,-10,-10,-9,-8,-9,-10,-9,-8,-9,-10,-9,-8,-8,-7,-6,-5,-4,-5,-4,-3,-4,-3,-3,-2,-1,-2,-2,-3,-2,-3,-2,-2,-1,0,1,2,2,1,0,-1
Twins,0,-1,0,-1,-2,-1,0,-1,0,1,0,0,-1,-2,-1,0,-1,0,1,2,3,2,3,2,3,4,3,3,1,0,1,0,0,1,2,1,0,-1,-2,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-10,-11,-10,-11,-12,-13,-12,-12,-13,-12,-13,-14,-13,-14,-13,-14,-15,-16,-16,-17,-17,-19,-20,-19,-20,-20,-21,-22,-21,-22,-21,-20,-20,-19,-19,-18,-17,-16,-17,-16,-16,-17,-18,-17,-18,-17,-18,-19,-20,-20,-21,-20,-21,-22,-21,-20,-21,-21,-20,-20,-19,-19,-18,-17,-18,-17,-18,-19,-19,-18,-18,-17,-16,-15,-16,-16,-17,-17,-17,-16,-16,-16,-15,-14,-13,-13,-14,-13,-14,-15,-16,-17,-16,-15,-16,-15,-15,-16,-17,-16,-15,-14,-15,-16,-15,-16,-15,-16,-18,-19,-19,-18,-17,-18,-17,-16,-15,-16,-17,-16,-17,-18,-18,-19,-18,-17,-18,-17,-16,-17,-18
A's,0,1,2,1,2,3,2,1,2,3,4,3,4,5,5,4,3,2,2,1,0,1,0,-1,-2,-1,0,1,0,1,0,-1,-2,-3,-4,-4,-3,-4,-5,-6,-5,-4,-4,-5,-4,-3,-4,-5,-6,-6,-7,-8,-7,-8,-7,-6,-6,-7,-8,-9,-8,-7,-6,-5,-6,-5,-4,-5,-6,-7,-7,-8,-9,-8,-9,-10,-11,-12,-13,-12,-11,-11,-10,-11,-12,-11,-12,-11,-12,-11,-11,-10,-11,-12,-13,-13,-14,-13,-12,-11,-10,-9,-10,-10,-11,-12,-13,-14,-13,-14,-14,-15,-16,-15,-16,-15,-14,-13,-14,-13,-13,-14,-15,-16,-17,-16,-17,-16,-15,-14,-15,-15,-16,-15,-15,-14,-15,-16,-17,-18,-17,-18,-19,-18,-19,-18,-17,-18,-18,-19,-19,-20,-20,-21,-22,-21,-20,-19,-18,-19,-20,-21,-22,-21,-20,-19,-19,-18,-19,-20,-21,-22,-23,-24,-23,-22,-21,-22,-21,-22
Astros,0,1,0,1,0,-1,0,0,1,2,3,2,1,2,2,1,0,-1,0,-1,-2,-3,-2,-3,-4,-5,-4,-4,-2,-1,-2,-3,-3,-4,-5,-6,-5,-4,-3,-2,-3,-2,-2,-1,0,-1,0,1,2,2,1,0,1,2,3,2,1,0,1,0,-1,-2,-1,-1,0,1,0,1,2,3,2,1,0,1,0,1,0,0,-1,0,-1,-1,0,1,2,1,0,-1,0,-1,0,1,1,2,3,3,4,3,4,5,6,5,6,6,7,6,5,6,5,6,7,8,9,8,9,8,9,9,10,11,12,13,13,13,14,15,16,16,15,14,13,14,15,14,15,16,17,18,19,20,21,21,22,23,24,25,24,23,24,23,24,23,22,21,22,22,21,22,21,22,23,24,25,24,25,26,26,25,26,27,26,27,28,28,29,30,29,30,29,30
Angels,0,1,2,3,4,5,6,6,5,4,3,4,5,4,5,4,5,4,4,5,6,5,4,3,2,2,1,0,-1,-2,-3,-4,-5,-4,-5,-4,-5,-6,-5,-5,-6,-5,-4,-5,-4,-3,-2,-1,0,0,-1,0,1,2,1,0,0,-1,-2,-1,-2,-3,-4,-5,-6,-5,-4,-5,-6,-5,-4,-3,-2,-3,-2,-1,0,0,1,0,1,1,0,1,2,1,2,3,4,4,5,4,3,2,1,0,-1,0,-1,-2,-3,-2,-3,-2,-1,0,1,2,1,2,2,3,2,1,0,1,0,-1,0,-1,-2,-1,-2,-1,0,1,2,2,1,0,1,2,3,2,1,0,1,0,-1,0,1,0,-1,0,-1,-1,0,-1,0,1,0,1,0,1,2,1,0,1,0,0,1,0,1,0,1,2,3,2,3,2,1,2,1,0,-1,0,0,-1,-2,-1
Mariners,0,-1,0,-1,0,-1,0,0,1,2,1,1,2,1,1,0,1,0,-1,0,1,0,1,2,3,4,5,6,6,5,6,7,8,7,8,7,8,9,8,9,8,7,6,7,6,5,4,3,2,2,3,2,1,2,1,2,3,4,5,6,7,8,9,9,8,7,8,7,6,7,7,8,7,8,9,8,9,10,11,10,9,9,8,7,6,7,6,5,4,5,4,3,3,4,5,6,7,6,7,6,5,4,5,5,4,5,6,7,6,5,5,4,5,6,5,6,7,7,8,9,8,7,6,5,6,5,6,7,6,5,4,4,3,2,3,2,1,2,3,4,5,4,5,6,7,7,8,9,8,9,8,7,8,7,8,7,6,5,6,7,8,9,10,11,10,9,9,8,7,7,8,7,8,7,6,5,4,5,4,5
Rangers,0,-1,-2,-1,-2,-3,-4,-4,-5,-4,-3,-2,-3,-4,-3,-2,-1,0,0,-1,-2,-1,-2,-1,0,1,2,3,2,3,2,1,2,3,4,4,5,4,3,3,2,3,4,3,4,5,6,7,8,8,9,10,9,8,9,8,7,8,9,8,9,10,9,9,10,9,8,9,10,9,9,10,11,10,9,10,11,11,12,11,10,10,9,8,7,7,8,7,8,8,7,8,9,8,7,6,7,6,5,6,7,8,9,8,7,8,8,7,8,7,6,5,4,5,6,5,4,3,4,5,6,7,8,9,9,10,11,12,13,12,13,13,12,11,10,9,8,9,8,9,8,8,7,6,5,5,6,5,5,6,7,8,9,10,9,9,10,11,10,9,10,9,10,9,10,11,10,11,10,9,8,9,8,7,6,7,7,8,9,8